# Time, Phi
0.000000000000000000e+00,3.799999999999999822e+00
8.008008008008007939e-02,3.759387661163008154e+00
1.601601601601601588e-01,3.694848393004678933e+00
2.402402402402402382e-01,3.607613337786897745e+00
3.203203203203203175e-01,3.499108637609541272e+00
4.004004004004003692e-01,3.370936719403599291e+00
4.804804804804804763e-01,3.224856282979362110e+00
5.605605605605605835e-01,3.062761220577894683e+00
6.406406406406406351e-01,2.886658701504911662e+00
7.207207207207206867e-01,2.698646658128154741e+00
8.008008008008007383e-01,2.500890909823435315e+00
8.808808808808809010e-01,2.295602159414562138e+00
9.609609609609609526e-01,2.085013092344180308e+00
1.041041041041041115e+00,1.871355802332573814e+00
1.121121121121121167e+00,1.656839758745194846e+00
1.201201201201201219e+00,1.443630520430286168e+00
1.281281281281281270e+00,1.233829388554355200e+00
1.361361361361361322e+00,1.029454177118452218e+00
1.441441441441441373e+00,8.324212645571154034e-01
1.521521521521521425e+00,6.445290732895894159e-01
1.601601601601601477e+00,4.674431065024092780e-01
1.681681681681681750e+00,3.026826529926107678e-01
1.761761761761761802e+00,1.516092517942326801e-01
1.841841841841841854e+00,1.541698875180785855e-02
1.921921921921921905e+00,-1.048753226029504049e-01
2.002002002002002179e+00,-2.084300433694630250e-01
2.082082082082082231e+00,-2.945946819939777583e-01
2.162162162162162282e+00,-3.629039439478065621e-01
2.242242242242242334e+00,-4.130798837716398442e-01
2.322322322322322385e+00,-4.450302030297155209e-01
2.402402402402402437e+00,-4.588447549971774730e-01
2.482482482482482489e+00,-4.547903331725651199e-01
2.562562562562562540e+00,-4.333038358283609615e-01
2.642642642642642592e+00,-3.949839126637655351e-01
2.722722722722722644e+00,-3.405812120986850822e-01
2.802802802802802695e+00,-2.709873587558035979e-01
2.882882882882882747e+00,-1.872228001446132328e-01
2.962962962962962798e+00,-9.042366943050161865e-02
3.043043043043042850e+00,1.817218259637209954e-02
3.123123123123122902e+00,1.372398286663194522e-01
3.203203203203202953e+00,2.653824186980220379e-01
3.283283283283283449e+00,4.011466841474379263e-01
3.363363363363363501e+00,5.430386315740729497e-01
3.443443443443443552e+00,6.895392659248311684e-01
3.523523523523523604e+00,8.391201875282885414e-01
3.603603603603603656e+00,9.902589117428792775e-01
3.683683683683683707e+00,1.141453766527636748e+00
3.763763763763763759e+00,1.291238230808629872e+00
3.843843843843843811e+00,1.438194585292724481e+00
3.923923923923923862e+00,1.580966757218039254e+00
4.004004004004004358e+00,1.718272251305307474e+00
4.084084084084084409e+00,1.848913070757495225e+00
4.164164164164164461e+00,1.971785544412968605e+00
4.244244244244244513e+00,2.085888988953080947e+00
4.324324324324324564e+00,2.190333148259168805e+00
4.404404404404404616e+00,2.284344365466794535e+00
4.484484484484484668e+00,2.367270456837642811e+00
4.564564564564564719e+00,2.438584270124887432e+00
4.644644644644644771e+00,2.497885923512549677e+00
4.724724724724724823e+00,2.544903734334658552e+00
4.804804804804804874e+00,2.579493859502727915e+00
4.884884884884884926e+00,2.601638681774288919e+00
4.964964964964964977e+00,2.611443987572467318e+00
5.045045045045045029e+00,2.609134992917671259e+00
5.125125125125125081e+00,2.595051284067182440e+00
5.205205205205205132e+00,2.569640748597275426e+00
5.285285285285285184e+00,2.533452580836271117e+00
5.365365365365365236e+00,2.487129452707955934e+00
5.445445445445445287e+00,2.431398947126639509e+00
5.525525525525525339e+00,2.367064356063128372e+00
5.605605605605605390e+00,2.294994949252049388e+00
5.685685685685685442e+00,2.216115822224061560e+00
5.765765765765765494e+00,2.131397433921653040e+00
5.845845845845845545e+00,2.041844944605970547e+00
5.925925925925925597e+00,1.948487464106755329e+00
6.006006006006005649e+00,1.852367318740617996e+00
6.086086086086085700e+00,1.754529442467101186e+00
6.166166166166165752e+00,1.656010994118886082e+00
6.246246246246245803e+00,1.557831297892139810e+00
6.326326326326325855e+00,1.460982198783150166e+00
6.406406406406405907e+00,1.366418918382449998e+00
6.486486486486486847e+00,1.275051489468056687e+00
6.566566566566566898e+00,1.187736840260515958e+00
6.646646646646646950e+00,1.105271591103493378e+00
6.726726726726727001e+00,1.028385617807017871e+00
6.806806806806807053e+00,9.577364270305908089e-01
6.886886886886887105e+00,8.939043799854811123e-01
6.966966966966967156e+00,8.373887914954331047e-01
7.047047047047047208e+00,7.886049221669890752e-01
7.127127127127127260e+00,7.478818721779385559e-01
7.207207207207207311e+00,7.154613760849150017e-01
7.287287287287287363e+00,6.914974891659041445e-01
7.367367367367367414e+00,6.760571472326872833e-01
7.447447447447447466e+00,6.691215736496229916e-01
7.527527527527527518e+00,6.705884995506531387e-01
7.607607607607607569e+00,6.802751560215319904e-01
7.687687687687687621e+00,6.979219903682507553e-01
7.767767767767767673e+00,7.231970525772291047e-01
7.847847847847847724e+00,7.557009927325635257e-01
7.927927927927927776e+00,7.949726055272056113e-01
8.008008008008008716e+00,8.404948541171467502e-01
8.088088088088088767e+00,8.917013024413856792e-01
8.168168168168168819e+00,9.479828827784456680e-01
8.248248248248248871e+00,1.008694923737289084e+00
8.328328328328328922e+00,1.073164363083765505e+00
8.408408408408408974e+00,1.140697069772633077e+00
8.488488488488489025e+00,1.210585200271803386e+00
8.568568568568569077e+00,1.282114515705068403e+00
8.648648648648649129e+00,1.354571588470614651e+00
8.728728728728729180e+00,1.427250829777878982e+00
8.808808808808809232e+00,1.499461272941457146e+00
8.888888888888889284e+00,1.570533051230029509e+00
8.968968968968969335e+00,1.639823513538005262e+00
9.049049049049049387e+00,1.706722926071532198e+00
9.129129129129129439e+00,1.770659713559403770e+00
9.209209209209209490e+00,1.831105199151082719e+00
