# Time, Phi
0.000000000000000000e+00,5.450000000000000178e+00
2.002002002002001985e-02,5.437503898014409032e+00
4.004004004004003969e-02,5.421980868792013908e+00
6.006006006006005954e-02,5.403455716428972266e+00
8.008008008008007939e-02,5.381954990533333039e+00
1.001001001001000923e-01,5.357506961387286104e+00
1.201201201201201191e-01,5.330141594160781260e+00
1.401401401401401459e-01,5.299890522197023834e+00
1.601601601601601588e-01,5.266787019390920754e+00
1.801801801801801717e-01,5.230865971681914139e+00
2.002002002002001846e-01,5.192163847683175959e+00
2.202202202202202252e-01,5.150718668469513872e+00
2.402402402402402382e-01,5.106569976546756706e+00
2.602602602602602788e-01,5.059758804025824119e+00
2.802802802802802917e-01,5.010327640025012741e+00
3.003003003003003046e-01,4.958320397324454731e+00
3.203203203203203175e-01,4.903782378296988931e+00
3.403403403403403304e-01,4.846760240140095100e+00
3.603603603603603434e-01,4.787301959433782450e+00
3.803803803803803563e-01,4.725456796049671837e+00
4.004004004004003692e-01,4.661275256436769432e+00
4.204204204204204376e-01,4.594809056309716588e+00
4.404404404404404505e-01,4.526111082765501337e+00
4.604604604604604634e-01,4.455235355854921586e+00
4.804804804804804763e-01,4.382236989635211799e+00
5.005005005005005447e-01,4.307172152730537995e+00
5.205205205205205576e-01,4.230098028427137891e+00
5.405405405405405705e-01,4.151072774330152981e+00
5.605605605605605835e-01,4.070155481609249115e+00
5.805805805805805964e-01,3.987406133860295299e+00
6.006006006006006093e-01,3.902885565610477059e+00
6.206206206206206222e-01,3.816655420494297513e+00
6.406406406406406351e-01,3.728778109127989904e+00
6.606606606606606480e-01,3.639316766709927098e+00
6.806806806806806609e-01,3.548335210374670368e+00
7.007007007007006738e-01,3.455897896328270491e+00
7.207207207207206867e-01,3.362069876792493694e+00
7.407407407407406996e-01,3.266916756785592568e+00
7.607607607607607125e-01,3.170504650767226096e+00
7.807807807807807254e-01,3.072900139175082757e+00
8.008008008008007383e-01,2.974170224880699376e+00
8.208208208208208623e-01,2.874382289591878248e+00
8.408408408408408752e-01,2.773604050229011797e+00
8.608608608608608881e-01,2.671903515302510357e+00
8.808808808808809010e-01,2.569348941318401636e+00
9.009009009009009139e-01,2.466008789239008347e+00
9.209209209209209268e-01,2.361951681025462602e+00
9.409409409409409397e-01,2.257246356288633571e+00
9.609609609609609526e-01,2.151961629074839788e+00
9.809809809809809655e-01,2.046166344812522908e+00
1.001001001001001089e+00,1.939929337445826185e+00
1.021021021021021102e+00,1.833319386780769555e+00
1.041041041041041115e+00,1.726405176069492509e+00
1.061061061061061128e+00,1.619255249857718848e+00
1.081081081081081141e+00,1.511937972120356966e+00
1.101101101101101154e+00,1.404521484709820411e+00
1.121121121121121167e+00,1.297073666141359327e+00
1.141141141141141180e+00,1.189662090739360689e+00
1.161161161161161193e+00,1.082353988168236025e+00
1.181181181181181206e+00,9.752162033711657685e-01
1.201201201201201219e+00,8.683151569396089231e-01
1.221221221221221231e+00,7.617168059360951426e-01
1.241241241241241244e+00,6.554866051924443937e-01
1.261261261261261257e+00,5.496894691051480430e-01
1.281281281281281270e+00,4.443897339492360321e-01
1.301301301301301283e+00,3.396511207315273673e-01
1.321321321321321296e+00,2.355366986037318311e-01
1.341341341341341309e+00,1.321088488554219564e-01
1.361361361361361322e+00,2.942922950643211966e-02
1.381381381381381335e+00,-7.244125948220092592e-02
1.401401401401401348e+00,-1.734425103601542340e-01
1.421421421421421361e+00,-2.735152410844392534e-01
1.441441441441441373e+00,-3.726010281430877091e-01
1.461461461461461386e+00,-4.706423386887581550e-01
1.481481481481481399e+00,-5.675825619656372778e-01
1.501501501501501412e+00,-6.633660400135111823e-01
1.521521521521521425e+00,-7.579380976334360032e-01
1.541541541541541438e+00,-8.512450715999300144e-01
1.561561561561561451e+00,-9.432343391051967174e-01
1.581581581581581464e+00,-1.033854345421389542e+00
1.601601601601601477e+00,-1.123054630767516215e+00
1.621621621621621712e+00,-1.210785856368109759e+00
1.641641641641641725e+00,-1.296999829691385608e+00
1.661661661661661737e+00,-1.381649528855142028e+00
1.681681681681681750e+00,-1.464689126189264723e+00
1.701701701701701763e+00,-1.546074010944234356e+00
1.721721721721721776e+00,-1.625760811135671835e+00
1.741741741741741789e+00,-1.703707414515467367e+00
1.761761761761761802e+00,-1.779872988660714750e+00
1.781781781781781815e+00,-1.854218000172155545e+00
1.801801801801801828e+00,-1.926704232974556952e+00
1.821821821821821841e+00,-1.997294805711902654e+00
1.841841841841841854e+00,-2.065954188230993083e+00
1.861861861861861867e+00,-2.132648217147582237e+00
1.881881881881881879e+00,-2.197344110489761526e+00
1.901901901901901892e+00,-2.260010481413982752e+00
1.921921921921921905e+00,-2.320617350989590655e+00
1.941941941941941918e+00,-2.379136160048456183e+00
1.961961961961961931e+00,-2.435539780096788398e+00
1.981981981981981944e+00,-2.489802523286889002e+00
2.002002002002002179e+00,-2.541900151447140210e+00
2.022022022022022192e+00,-2.591809884169148148e+00
2.042042042042042205e+00,-2.639510405951549732e+00
2.062062062062062218e+00,-2.684981872400555858e+00
2.082082082082082231e+00,-2.728205915487911692e+00
2.102102102102102243e+00,-2.769165647867545488e+00
